Sr No,College Name,CollegeUrl,Email,Address,Contact No,TPO Name,TPO Number
264,Yashwantrao Bhonsale College of D. Pharmacy   Charathe Vazarwadi,www.ybdpharmacy.com,ybdpharmacy@gmail.com,Building NO.4   A/P Charathe Vazarwadi   Taluka Sawantwadi   Dist Sindhudurg,272251,,
265,VP College of Pharmacy   Madkhol   Sawantwadi,www.vpcpm.org,vpcpm2017@gmail.com,Gut No.286   At Post Madkhol   Taluka Sawantwadi   Dist Sindhudurg,246670,,
266,SBNM College of Pharmacy(D.Pharmacy)   Mahad,sbnmdpharmmahad.org,sbnm.cop@gmail.com,Gut No.311 & 313   Achloli   Mahad   Raigad,9970166872,,
267,Shri Angarsiddha Shikshan Prasarak Mandal's ASPM College of Pharmacy   Sangulwadi,www.aspmocop.org,aspmpharmacy@gmail.com,At Post Sangulwadi   Tal Vaibhavwadi   Dist. Sindhudurg,237270,,
268,Smt. Jayshree Sharadchandra Kothari Business School   Dadar   Mumbai,www.jskbschool.org,office.jskbs@despune.org,DES Mumbai Campus   Kirti College Road   Veer Savarkar Marg   Mumbai,62764554,,
269,Vasantdada Patil Pratishthan's Manohar Phalke College of Architecture   Sion-Chunabhatti   Mumbai,www.mpcoa.in,sheetalckamble@gmail.com,Vasantdada Patil Educational Complex   Eastern Express Highway   Sion-Chunabhatti   Mumbai.,20847227,,
270,Vivekanand Education Society's  College of Architecture   Chembur   Mumbai,,,Hashu Advani Memorial Complex   Behind Collector Colony   R.C. Marg   Chembur   Mumbai,Ext.-,,
271,S.K. Education Trust's Dr. Manoj A. Shete College of Architecture    Kasara,202,GOPINATH TOWER PARSIKNAGAR,manojpchavan@gmail.com,At post Kasara   Taluka  Shahapur   Dist.Thane,8108000534,
272,Sasmiras Business School   Worli   Mumbai,www.sbs.sasmira.org,sbs@sasmira.org,Sasmira Marg Worli Mumbai - 400030    Mumbai   Mumbai City    Maharashtra 400030,24935351,,
273,M.S. College Of Pharmacy   Devghar,www.mscollegeofpharmacy.com,mscollegeofpharmacy2019@gmail.com,Sy. No. 120   Devghar    Taluka : Wada Dist: Palghar   Thane,,,
,,,,,,,
,Ext.-,,,,,,
274,Vijayrao Naik College Of  Pharmacy   Shirval,ykskankavali.co.in,vncop19@gmail.com,A/P Shirval   Tal-Kankavli   Dist. Sindhudurg,,,
,,,,,,,
,Ext.-,,,,,,
275,Siddhis Institute Of Pharmacy   Nandgaon,bdsp.org.in,principal.siddhi@gmail.com,At.Post Nandgaon Tal. Murbad Dist  Thane,,,
,,,,,,,
,8408035769,,,,,,
276,Indala College Of Engineering   Bapsai Tal.Kalyan,icoe.ac.in,icoekalyan1@gmail.com,Near Hp Gagangiri Petrol Pump   Kalyan-Murbad Road   Bapsai   Taluka Kalyan   Dist Thane ,2973456,,
277,Raigad College Of Pharmacy   Mohopre,www.raigadcopmohopre.com,raigadcop@gmail.com,Mohopre   Tal. Mahad   Dist. Raigad,,,
,,,,,,,
,8956972859,,,,,,
278,Abhinav Institute Of Pharmacy   Chinchpada,www.abhinavpharmacy.in,abhinavinstituteofpharmacy@gmail.com,4/3 B Chinchpada     Taluka Ambernath   District Thane,,,
,,,,,,,
,2250455,,,,,,
279,Shri. Pandit Baburao Chaughule College Of Pharmacy   Rahanal ,www.saisevaspmbhiwandi.in,spbc.pharmacy@gmail.com,At/Po. Rahanal   Anjur Phata   Jakat Naka   Bhiwandi,Ext.-,,
280,Indala School of Architechture   Bapsai Tal.Kalyan,www.isoa.ac.in,isoakalyan1@gmail.com,Near Hp Gagangiri Petrol Pump   Kalyan-Murbad Road   Bapsai   Kalyan  421301,,,
,,,,,,,
,Ext.-,,,,,,
281,B.K. Patil Institute of Pharmacy   Taloja   Panvel,www.bkpiop.com,kghpss.2019@gmail.com,Shiv Mandir   Taloja   Taluka Panvel Dist.Raigad,222742464,,
